# Constructed from biom file
#OTU ID	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175
4b5eeb300368260019c1fbc7a3c718fc	2175.0	0.0	0.0	0.0	0.0	2806.0	3309.0	2595.0	10.0	10.0
fe30ff0f71a38a39cf1717ec2be3a2fc	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d29fe3c70564fc0f69f2c03e0d1e5561	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	353.0	779.0
868528ca947bc57b69ffdf83e6b73bae	0.0	2249.0	2107.0	1177.0	1722.0	0.0	0.0	0.0	0.0	0.0
154709e160e8cada6bfb21115acc80f5	803.0	1174.0	694.0	406.0	242.0	1081.0	930.0	1623.0	0.0	0.0
1d2e5f3444ca750c85302ceee2473331	0.0	0.0	5.0	0.0	0.0	0.0	0.0	5.0	27.0	51.0
0305a4993ecf2d8ef4149fdfc7592603	1197.0	647.0	964.0	909.0	531.0	415.0	334.0	243.0	0.0	0.0
cb2fe0146e2fbcb101050edb996a0ee2	0.0	0.0	6.0	7.0	0.0	0.0	0.0	0.0	82.0	227.0
997056ba80681bbbdd5d09aa591eadc0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	10.0
3c9c437f27aca05f8db167cd080ff1ec	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
